val_tag;viscosity;file;width;height;perimeter;area;centroid_x;centroid_y;svg_viewBox_x;svg_viewBox_y;svg_viewBox_w;svg_viewBox_h;svg_width_attr;svg_height_attr;svg_width_mm;svg_height_mm;mm_per_user_unit;geom_bbox_xmin;geom_bbox_ymin;geom_bbox_xmax;geom_bbox_ymax;geom_width;geom_height;margin_left;margin_right;margin_top;margin_bottom;margin_left_pct_of_max;margin_right_pct_of_max;margin_top_pct_of_max;margin_bottom_pct_of_max;rep
val-1p400;1,4;slice_linked_val-1p400_rep-2.svg;9,92739599655567;5,274683533433864;46,75267338408483;0,001155311911333;-0,4750384523559929;-1,878094197875684;-6,00966;-4,53225;11,1045;5,037;;;;;;-5,50278551541224;-4,026177778343906;4,590051794284038;-0,0007624145899691;10,09283730969628;4,025415363753937;0,50687448458776;0,5047882057159612;0,506072221656094;0,5055124145899688;5,022120827220718;5,001449941445173;5,014171992744854;5,008625415019011;2,0
val-1p400;1,4;slice_linked_val-1p400_rep-3.svg;9,027680086289823;7,1517863529859085;46,6564511785338;0,0029717235765609;-0,4750384523559923;-1,878094197875685;-6,03066;-4,59418;11,1692;5,10187;;;;;;-5,520238538323327;-4,083963437628333;4,629828069672722;-0,0025936314280368;10,150066607996049;4,081369806200296;0,5104214616766729;0,5087119303272782;0,5102165623716663;0,510283631428037;5,028749873173951;5,011907310307931;5,026731174056794;5,027391948601049;3,0
val-1p400;1,4;slice_linked_val-1p400_rep-4.svg;4,890468062438794;10,09823078634564;49,03969242196094;70,27110133746083;-0,4750384523559915;-1,878094197875684;-6,04237;-4,5379;11,1908;5,04052;;;;;;-5,533470346080483;-4,02902113402305;4,63845064924489;-0,0064032470187381;10,171920995325372;4,022617887004311;0,5088996539195172;0,5099793507551098;0,5088788659769499;0,5090232470187385;5,002984727795154;5,013599210901037;5,002780361849165;5,0041997696665765;4,0
val-1p400;1,4;slice_linked_val-1p400_rep-5.svg;4,824059836816149;10,052961839644649;48,98055731432269;69,76542437675926;-0,475038452355992;-1,878094197875678;-6,05909;-4,53295;11,1767;5,0246;;;;;;-5,550230220137981;-4,024305542424199;4,607327308740894;-0,0168650334735191;10,157557528878876;4,00744050895068;0,5088597798620196;0,5102826912591061;0,5086444575758007;0,5085150334735199;5,009666727609311;5,023675128674637;5,007546904161532;5,006272738576814;5,0
val-1p600;1,6;slice_linked_val-1p600_rep-1.svg;9,625442855155388;3,884689055664724;45,69397886211207;8,018632130202263e-05;-0,4382717993169278;-1,8284088277222907;-5,72508;-4,36979;10,5908;4,85119;;;;;;-5,241152793127527;-3,887494982912552;4,384290062027862;-0,0028059272478277;9,625442855155388;3,884689055664724;0,4839272068724733;0,4814299379721376;0,482295017087448;0,4842059272478275;5,0275838125544725;5,001639355370374;5,010626776815061;5,030479475429921;1,0
val-1p600;1,6;slice_linked_val-1p600_rep-2.svg;9,337712010338857;4,893412527708099;45,26787389735436;0,0002074338243502;-0,4382717993169285;-1,8284088277222896;-5,72671;-4,28843;10,4916;4,76532;;;;;;-5,245126044367619;-3,8109084252175975;4,287556764676462;-0,0006377549985362;9,53268280904408;3,810270670219061;0,4815839556323809;0,4773332353235382;0,4775215747824024;0,4775277549985363;5,051924681428408;5,0073336634118455;5,00930938695827;5,009374218824153;2,0
val-1p600;1,6;slice_linked_val-1p600_rep-3.svg;7,361464723177936;8,083398572442093;46,34367105229003;63,34374409312965;-0,4382717993169278;-1,828408827722292;-5,77495;-4,37042;10,6226;4,82992;;;;;;-5,288135690541672;-3,8847281381740033;4,364106829273292;-0,0233960379400842;9,652242519814966;3,861332100233919;0,4868143094583272;0,4835431707267084;0,4856918618259969;0,4828960379400845;5,043535825575791;5,009645890414054;5,031906946276228;5,002941409198468;3,0
val-1p600;1,6;slice_linked_val-1p600_rep-4.svg;9,606778377540516;3,864861572715973;43,40575995761315;0,0001118272630975;-0,4382717993169278;-1,8284088277222927;-5,78742;-4,34157;10,5727;4,82215;;;;;;-5,304603715873535;-3,8608321295996095;4,30381746915234;-0,0025380394360735;9,608421185025875;3,858294090163536;0,4828162841264651;0,4814625308476596;0,4807378704003904;0,4831180394360733;5,024928391762261;5,010839154282588;5,003297223789381;5,028068921343526;4,0
val-1p600;1,6;slice_linked_val-1p600_rep-5.svg;7,268385157766793;8,0063257848732;45,92272332916338;62,384827490981024;-0,4382717993169282;-1,828408827722292;-5,71063;-4,33044;10,5379;4,77327;;;;;;-5,226892279004457;-3,847936564380608;4,342075666263356;-0,0361950124241051;9,568967945267811;3,8117415519565023;0,4837377209955429;0,4851943337366444;0,4825034356193929;0,479025012424105;5,055275801553584;5,070498056967469;5,042376966661359;5,006025886637017;5,0
val-1p800;1,8;slice_linked_val-1p800_rep-1.svg;9,047505696065516;3,7142139909122784;43,51908982576556;57,25649153988241;-0,4577922307572261;-1,7414665615232237;-5,41786;-4,20402;9,95583;4,62149;;;;;;-4,964667337348101;-3,750113374421945;4,082838358717417;-0,0358993835096667;9,047505696065516;3,7142139909122784;0,4531926626518991;0,4551316412825832;0,4539066255780546;0,4533693835096665;5,0090342894061815;5,03046537434628;5,016925557454412;5,010987544410423;1,0
val-1p800;1,8;slice_linked_val-1p800_rep-2.svg;8,79345898251901;3,642137480632563;42,65583670956192;55,21136125946942;-0,4577922307572262;-1,7414665615232217;-5,17264;-4,10864;9,67987;4,52205;;;;;;-4,729118497277682;-3,6659795424431305;4,064294506333222;-0,0275776094124042;8,793413003610905;3,6384019330307273;0,4435215027223185;0,4429354936667771;0,4426604575568698;0,440987609412404;5,043792467614019;5,037128285512021;5,0340005339803415;5,01497665617796;2,0
val-1p800;1,8;slice_linked_val-1p800_rep-3.svg;9,104885495077808;3,7888726660741;44,0625644956268;58,98733484853352;-0,4577922307572258;-1,741466561523224;-5,51598;-4,28745;10,0207;4,71128;;;;;;-5,059767519793441;-3,829629068832386;4,045864670121103;-0,0319802043465394;9,105632189914544;3,797648864485847;0,4562124802065588;0,4588553298788964;0,4578209311676136;0,45581020434654;5,010223021218259;5,039247361508052;5,027887373648794;5,005805141694591;3,0
val-1p800;1,8;slice_linked_val-1p800_rep-4.svg;8,961280206978781;3,693259690697973;43,28553413551549;56,70440690520742;-0,4577922307572266;-1,7414665615232248;-5,42395;-4,18168;9,86279;4,59193;;;;;;-4,974056460397272;-3,732761701171365;3,9872276868936702;-0,0384900503902206;8,961284147290943;3,694271650781144;0,4498935396027272;0,4516123131063305;0,4489182988286355;0,4487400503902202;5,020413728748163;5,039593719867214;5,00953090483518;5,007541810019242;4,0
val-1p800;1,8;slice_linked_val-1p800_rep-5.svg;9,12592237302215;3,741234104550177;44,02717820988681;58,14833395389897;-0,4577922307572264;-1,741466561523222;-5,43182;-4,24065;10,0463;4,64827;;;;;;-4,969444193527507;-3,782959338445473;4,156465294505703;-0,0491680880473753;9,12590948803321;3,7337912503980974;0,462375806472493;0,4580147054942971;0,4576906615545266;0,4567880880473758;5,066627135397361;5,018839011003681;5,015288198449651;5,0053979676914535;5,0
