val_tag;Feedrate;file;width;height;perimeter;area;centroid_x;centroid_y;svg_viewBox_x;svg_viewBox_y;svg_viewBox_w;svg_viewBox_h;svg_width_attr;svg_height_attr;svg_width_mm;svg_height_mm;mm_per_user_unit;geom_bbox_xmin;geom_bbox_ymin;geom_bbox_xmax;geom_bbox_ymax;geom_width;geom_height;margin_left;margin_right;margin_top;margin_bottom;margin_left_pct_of_max;margin_right_pct_of_max;margin_top_pct_of_max;margin_bottom_pct_of_max;rep
val-1000p000;1000;slice_speed_val-1000p000_rep-4.svg;8,761046314;3,546602413;42,21508867;53,45212153;-0,246244106;-1,679036264;-4,98417;-4,01189;9,64711;4,39411;;;;;;-4,542120495;-3,573262513;4,220122488;-0,056484788;8,762242983;3,516777725;0,442049505;0,442817512;0,438627487;0,438704788;5,044935476;5,053700438;5,005881349;5,006763547;4
val-1000p000;1000;slice_speed_val-1000p000_rep-5.svg;8,773369801;3,563557805;42,24093836;53,53019563;-0,246244106;-1,679036264;-5,00583;-4,03714;9,65507;4,44234;;;;;;-4,563591951;-3,597527649;4,209997036;-0,033890721;8,773588986;3,563636927;0,442238049;0,439242964;0,439612351;0,439090721;5,040560369;5,006422856;5,010633073;5,004687616;5
val-1250p000;1250;slice_speed_val-1250p000_rep-1.svg;7,309287436;3,419642765;36,37396487;42,67474324;-0,158855683;-1,665588054;-4,19922;-3,84887;8,04414;4,15307;;;;;;-3,831767667;-3,481165139;3,477519769;-0,061522373;7,309287436;3,419642765;0,367452333;0,367400231;0,367704861;0,365722373;5,027197746;5,026484922;5,030652639;5,003529779;1
val-1250p000;1250;slice_speed_val-1250p000_rep-2.svg;7,438673129;3,471868026;36,66860295;43,42860359;-0,158855683;-1,665588054;-4,40171;-3,90022;8,19617;4,21598;;;;;;-4,021797912;-3,527185528;3,417484282;-0,057456981;7,439282194;3,469728548;0,379912088;0,376975718;0,373034472;0,373216981;5,106837971;5,067366829;5,014387974;5,01684129;2
val-1250p000;1250;slice_speed_val-1250p000_rep-3.svg;7,331868599;3,399155848;36,32248359;42,58676111;-0,158855683;-1,665588054;-4,26044;-3,8345;8,07588;4,13631;;;;;;-3,887995898;-3,466865381;3,443860851;-0,065361737;7,331856749;3,401503644;0,372444102;0,371579149;0,367634619;0,367171737;5,079806046;5,068008845;5,014208977;5,007895669;3
val-1250p000;1250;slice_speed_val-1250p000_rep-4.svg;7,321392926;3,422416728;36,39125954;42,77712109;-0,158855683;-1,665588054;-4,20548;-3,83712;8,06438;4,1321;;;;;;-3,833464846;-3,470499033;3,488205641;-0,071658812;7,321670487;3,398840221;0,372015154;0,370694359;0,366620967;0,366638812;5,081014704;5,06297517;5,007340441;5,00758416;4
val-1250p000;1250;slice_speed_val-1250p000_rep-5.svg;7,352674092;3,383111155;36,31836109;42,5106685;-0,158855683;-1,665588054;-4,29005;-3,81303;8,09717;4,12021;;;;;;-3,917320636;-3,444420441;3,435346377;-0,060899562;7,352667013;3,383520879;0,372729364;0,371773623;0,368609559;0,368079562;5,069308367;5,056309804;5,013276928;5,006068698;5
val-1500p000;1500;slice_speed_val-1500p000_rep-1.svg;6,340971657;3,294310914;32,01500864;34,89755652;-0,218363531;-1,630520975;-3,71061;-3,69012;6,98824;3,93099;;;;;;-3,388935364;-3,371222527;2,952036294;-0,076911613;6,340971657;3,294310914;0,321674636;0,325593706;0,318897473;0,317781613;5,072954964;5,134760475;5,02915783;5,011560222;1
val-1500p000;1500;slice_speed_val-1500p000_rep-2.svg;6,409477293;3,317269633;32,28435106;35,39395431;-0,218363531;-1,630520975;-3,71667;-3,70326;7,05509;3,9602;;;;;;-3,393301776;-3,381236476;3,016433158;-0,063967536;6,409734934;3,31726894;0,323368224;0,321986842;0,322023524;0,320907536;5,044954707;5,02340339;5,023975673;5,006564844;2
val-1500p000;1500;slice_speed_val-1500p000_rep-3.svg;6,347639832;3,319134027;32,14698541;35,31290839;-0,218363531;-1,630520975;-3,69643;-3,69792;6,98607;3,95214;;;;;;-3,378320092;-3,380262131;2,969740781;-0,064218824;6,348060873;3,316043307;0,318109908;0,319899219;0,317657869;0,318438824;5,011135122;5,039321863;5,004014221;5,016316491;3
